LocationID,DeviceID,TimestampUTC,Latitude,Longitude,Confidence,Description,StatusCode,DBDatePublishedUTC,EncryptedPayloadDB
12,afirx1LlNk5vh7BnbGukU+L8o9E3pHhd/uogNOdmdv8=,2024-11-20 11:05:23+00:00,16.0744514,108.1524047,110.0,"found
",0,,LO358wADBCxIU26OaI2Qwr4s8n+tIrrho21yK/KAGSYJYxqwVZgWpTdBOqRJTNfHqWO2ERwUGMzBGNY3vwcC1JK8NjLdSraskzya+d3WftEkgCEvCg7/y3Q=
13,afirx1LlNk5vh7BnbGukU+L8o9E3pHhd/uogNOdmdv8=,2024-11-20 11:05:23+00:00,16.0744514,108.1524047,110.0,"found
",0,,LO358wADBCxIU26OaI2Qwr4s8n+tIrrho21yK/KAGSYJYxqwVZgWpTdBOqRJTNfHqWO2ERwUGMzBGNY3vwcC1JK8NjLdSraskzya+d3WftEkgCEvCg7/y3Q=
14,afirx1LlNk5vh7BnbGukU+L8o9E3pHhd/uogNOdmdv8=,2024-11-20 11:09:48+00:00,16.0741774,108.152565,173.0,found,0,,LO36/AABBFDQ7nEB/w9fngPOzvD7OJVXkG82vmFjnbcGj0LaTKLwJyVL5WrVDTzgWCUWwGAIuGZLZrIUrWBl/UPZz9BnOKeJV66/SiMR7uNsSX0LCIVMiPQ=
15,afirx1LlNk5vh7BnbGukU+L8o9E3pHhd/uogNOdmdv8=,2024-11-20 11:05:23+00:00,16.0744514,108.1524047,110.0,found,0,,LO358wADBCxIU26OaI2Qwr4s8n+tIrrho21yK/KAGSYJYxqwVZgWpTdBOqRJTNfHqWO2ERwUGMzBGNY3vwcC1JK8NjLdSraskzya+d3WftEkgCEvCg7/y3Q=
16,afirx1LlNk5vh7BnbGukU+L8o9E3pHhd/uogNOdmdv8=,2024-11-20 06:38:47+00:00,16.0741722,108.1528651,101.0,found,0,,LO27dwADBOapSYAtWe4O/YTLB6uuuuIzOZOLcIpvrMBSL+BVeKuAYY/lJiGts5Xlcsg2pMihPOoqj+o2WydLMDcDBnpsnskZSIRrzT/ivu1J6zBIcnzLN9A=
17,afirx1LlNk5vh7BnbGukU+L8o9E3pHhd/uogNOdmdv8=,2024-11-20 06:30:06+00:00,16.0741901,108.1528745,110.0,found,0,,LO25bgADBGpd0Rd5Sn9eqYEbSUq3/XLSnRrtccI9f5cftOo5KnsFspNgcpyjrXgzGOeMjJs0lVWFWhBc3zE5K/lFHjgYjof8wCEVlZD+PoY5Dh4q33kYJxU=
18,afirx1LlNk5vh7BnbGukU+L8o9E3pHhd/uogNOdmdv8=,2024-11-20 00:42:41+00:00,16.0741444,108.1526028,98.0,found,0,,LO1oAQADBNLKQ02uD8ZRLmQjA4l34ZiPtyaFvn9jmfrNS5ibZJowUkYzYeBSqjoXBtPh28DX9t1INzx4HSqDupPkoArrz6ScPH36NvG3VRTkRtm9mTM/yiw=
19,afirx1LlNk5vh7BnbGukU+L8o9E3pHhd/uogNOdmdv8=,2024-11-19 13:04:48+00:00,16.074339,108.1525891,129.0,found,0,,LOzEcAACBA/9F2/48L84sBUYkeQWVdZFVJ8Gpzh9p/mRz9ysNLIQnDc/AgQPs/6Pb0seYuzE/Mz8j6z5cgi/C2KnjGqQDqtenSsF/dWpQzWa2nRl4UHxJis=
20,afirx1LlNk5vh7BnbGukU+L8o9E3pHhd/uogNOdmdv8=,2024-11-19 10:13:13+00:00,16.0748531,108.1522374,132.0,found,0,,LOycOQACBATOQC6KHbgeyvqz+HGhmSbO/9PNeJqEWvAp0aBor3sSxX8u8tvlQiENER1L0hL2YjsTmn95Gj3R1Lv865qLnwId8UWJXe3PebIS47M7RlVv16s=
21,afirx1LlNk5vh7BnbGukU+L8o9E3pHhd/uogNOdmdv8=,2024-11-19 10:06:52+00:00,16.0741531,108.1527205,107.0,found,0,,LOyavAADBP117Kx2sz5QXEl4S6nIKcmKqrCCDZB2mw4BrxEb0sBRVnSXUCqOAm/UI1YFfDLndL8ui48dDmOvcDGfkoenwrqYfnDQZBvVwNYMXhKOg/5SFkg=
22,afirx1LlNk5vh7BnbGukU+L8o9E3pHhd/uogNOdmdv8=,2024-11-19 10:00:52+00:00,16.0741531,108.1527205,109.0,found,0,,LOyZVAADBG7KK5IfasHCk+xX5rioOq5APUlPyLRJH2nuH1LqlBjyQomB5CoeCnFvjE6AKQxg6WXatEJ/Vea/JA9r1qywRQXl6JA/AUFuf5ipQ6Nuw1er2ws=
23,afirx1LlNk5vh7BnbGukU+L8o9E3pHhd/uogNOdmdv8=,2024-11-19 09:31:10+00:00,16.0741531,108.1527205,111.0,found,0,,LOySXgADBLQ08si9lnmvhdAEjMWSsvEhATmlgEHoDmQn6zBo9ik6J+zzrfxU/276FWXpcdRX8s+vNfs+FWvKYR5taKhIfFhcxTjTkeMx8GoD1Cq100Uaik4=
24,afirx1LlNk5vh7BnbGukU+L8o9E3pHhd/uogNOdmdv8=,2024-11-19 09:26:10+00:00,16.0741531,108.1527205,100.0,found,0,,LOyRMgADBBnHoXDyXIrnyhJ0UZXp6EDAKpJIzno4Km6nwTTmYoEja3nWtqVNSP0CPPKlRP5cZAOovsc9u7tsMJ/QdvUDEVnZG6GTRYbyw9+WzE4jU0FPlqk=
25,afirx1LlNk5vh7BnbGukU+L8o9E3pHhd/uogNOdmdv8=,2024-11-19 09:21:10+00:00,16.074153,108.1527205,98.0,found,0,,LOyQBgADBECAdigiFm1MWxtXU2uKOjmNWLZTABSljOEoOPiE1uNPBZcQRp+mNcp2l1kSh7d5vxHSwfVLFZU66m1Je/DegVmkL4r2tdXNaIeYax6ng2M1Qh0=
26,afirx1LlNk5vh7BnbGukU+L8o9E3pHhd/uogNOdmdv8=,2024-11-19 09:17:00+00:00,16.0741998,108.1526266,98.0,found,0,,LOyPDAADBBrwKH2P2XFs3zK+3gPX6K0WE83zhjA7BDfmIPJ+XvlhKkhXa2loo7aqGVySwtHMLTQGADimrvZEnxvtFvXZCqVACvxpJpYxeITuP6rGOd7id8E=
27,afirx1LlNk5vh7BnbGukU+L8o9E3pHhd/uogNOdmdv8=,2024-11-19 09:11:29+00:00,16.0741213,108.1527187,99.0,found,0,,LOyNwQADBN+dNKi7IKwY5TzX7SqmJDh/Gb7RdeSUPDQsW+2ghvJHit5o69UyVn7uzkxBfrbSzhNTFTRDtZlymkV2iQ/0Fe7XzZbo9SCa3M6IjUa4kNnEZDg=
28,afirx1LlNk5vh7BnbGukU+L8o9E3pHhd/uogNOdmdv8=,2024-11-19 09:05:04+00:00,16.0741222,108.1527007,115.0,found,0,,LOyMQAADBM4yy2SSVKk/ncLU2wq3DuVa5WNBJKcXYhThTHIoOTBahAea6TWlNZ8W23JfPu2FTIrxxVGWdBcYewkybuX6tCu4Hiw2LbS21A2qhhTAWsJcRSg=
29,afirx1LlNk5vh7BnbGukU+L8o9E3pHhd/uogNOdmdv8=,2024-11-19 08:57:28+00:00,16.0741547,108.1526746,110.0,found,0,,LOyKeAADBHo7GlmkzFSw74oNVeY+mBjpFzKwEoXSwYdw3C3pZhpXPd3Nw6qgWmk3mtjPM6UUSRG8wLSBPupmV6VcdnqDbsLzl/snYZi1pOks+GEphEeUrQs=
30,afirx1LlNk5vh7BnbGukU+L8o9E3pHhd/uogNOdmdv8=,2024-11-19 08:52:08+00:00,16.0742353,108.1524972,107.0,found,0,,LOyJOAADBNZzmaPH5MCez5rwKCz3ZWHlXqGoU4hZO1m8tQWwU8/nLZC3VGb9wGGhFPaGBcolSnI+Ubm9aF8XkyRDT4EvuHYf02s+qwJRNJayLeVJSDfo9hM=
31,afirx1LlNk5vh7BnbGukU+L8o9E3pHhd/uogNOdmdv8=,2024-11-19 08:44:58+00:00,16.0742154,108.1527463,112.0,found,0,,LOyHigADBCtfTRE7mk04C98hw0yW4MO+LbaImaGJ4LJeJ/M9PTOeGX281SL3Ej1yT1gpdfA2xlcRady++1stLYvalE58VvFZ7NYYWbqkoCnXZy7U7y6rGms=
32,afirx1LlNk5vh7BnbGukU+L8o9E3pHhd/uogNOdmdv8=,2024-11-19 08:43:08+00:00,16.0741898,108.1529197,115.0,found,0,,LOyHHAACBFF9ZJyRcdLsvsgolDtCEv6XTyU0PcfsXUFeLdtK8LJBlti1ZxguPMXuE2cb0Ifnvgb60Bf6FpEcayXb8zL0T/z4jgZQ0FZBvclw5FldNeHaH3I=
33,afirx1LlNk5vh7BnbGukU+L8o9E3pHhd/uogNOdmdv8=,2024-11-19 06:36:45+00:00,16.0632433,108.1551804,82.0,found,0,,LOxpfQADBDdxz3hY3q9bQ+LAEwKDfEJkoJBg77jP0mTMOfjh7mCwsbKTxC2to4m0d1zpa+CtFep2z4iY23MPni6VT3Czopo4lS0WvypltHheahuDYcVUy28=
34,afirx1LlNk5vh7BnbGukU+L8o9E3pHhd/uogNOdmdv8=,2024-11-19 06:28:55+00:00,16.0632438,108.1551803,45.0,found,0,,LOxnpwADBHm4smErBZx/yAwJcU/yzjSIG+t5/Wfh3INHENJjD07UR5dx5Ic4EPRml1cj+L6Tw6e3VOydbmoaEt243S5TyS9wteME7FOUvHLjBA2cCcERpP4=
35,afirx1LlNk5vh7BnbGukU+L8o9E3pHhd/uogNOdmdv8=,2024-11-19 06:23:39+00:00,16.0741846,108.1526497,42.0,found,0,,LOxmawADBNyfTOChZ47go8d+i4+n80x3URoI62+w+gPXK7PiqskIGjTvqWbOQJfCWdC0MpDEXPjZPFWNdhmyF9HJeK7y4CXMvZdZk/Lbn+P/hGMPN9PMnmA=
36,afirx1LlNk5vh7BnbGukU+L8o9E3pHhd/uogNOdmdv8=,2024-11-19 06:22:49+00:00,16.0741707,108.1526215,98.0,found,0,,LOxmOQMETbtaN0ShiHweAZ3vzD5E29Nph6ByiVKKB2907AFo5QTbIZO3DnL/SV8WlUS+kUoi6n+rDjNsMhF8FO8Qbfw7r3fWBrwsgjE3HyGJwzmHWEQA8A==
37,afirx1LlNk5vh7BnbGukU+L8o9E3pHhd/uogNOdmdv8=,2024-11-19 06:22:29+00:00,16.0742382,108.1527511,99.0,found,0,,LOxmJQMEEwCHo63Rp7vsWLAki6B7n4VXFHatiEnIzvnm9du9aWqPQeN1ep2fK3sHvSHJByD56LpxgBdvMNVByS8rFJScKkApyb9C96vMK/PzYM86+GJC6Q==
38,afirx1LlNk5vh7BnbGukU+L8o9E3pHhd/uogNOdmdv8=,2024-11-19 06:21:39+00:00,16.0632433,108.1551804,67.0,found,0,,LOxl8wADBNqomDKLfcjajOMhHDV5xeLJryWoyYGpJ4fJDGjvh+FJD4TlOUXISN+8ZVE4JcWWKx3hEl2JpeCKi3TOpR+kh6DS+fn3fmwmnaGetyr9u/O+N3k=
39,afirx1LlNk5vh7BnbGukU+L8o9E3pHhd/uogNOdmdv8=,2024-11-19 06:21:34+00:00,16.0742003,108.1527499,98.0,found,0,,LOxl7gMEcb3Ub6CtKJr4G7rJXqmkLd0QmkSNLKiqIS7t/RJI7Ruz6DF3DKGU7hVBDdy5aY4SU3A2mpfy/ewu3jTCrz91syjWEjVGxgWh9b/ImSUGGDDvDg==
40,afirx1LlNk5vh7BnbGukU+L8o9E3pHhd/uogNOdmdv8=,2024-11-19 06:21:19+00:00,16.0741659,108.1527538,98.0,found,0,,LOxl3wME1yDnLHppzt1UAAhmCJWae/S1DwNF6dzkATcIOdfFPTd3azfL7AqqVvglVg+Qfgv7sM3ZnR1qUaV0tUAb9p5/ZXJ+4kaL1f2iKkxXVWpzKfibzQ==
41,afirx1LlNk5vh7BnbGukU+L8o9E3pHhd/uogNOdmdv8=,2024-11-19 06:16:24+00:00,16.0741872,108.1526544,52.0,found,0,,LOxkuAADBCPFjqMGt0uZCrF+1mkGWLcrLfk/04xy0XHYoW66KsedW0jCcPVdDtaBc99luV6gJrmUah3fjr/OJGOCqM7RTpTcmjUyArg17URPJ9Sk7fIKyCU=
42,afirx1LlNk5vh7BnbGukU+L8o9E3pHhd/uogNOdmdv8=,2024-11-19 06:11:08+00:00,16.0632438,108.1551803,48.0,found,0,,LOxjfAADBPQSGoHpLDi2SGdGW7meKoBbBdN7gZMUdqEl8nGP8tobihxhcKU9VRFhoujsxcuowT98tUm81XIaJiVw/scJFRSnkHbVz2OYl/exKqRa28anSzw=
43,afirx1LlNk5vh7BnbGukU+L8o9E3pHhd/uogNOdmdv8=,2024-11-19 06:03:58+00:00,16.0741907,108.1526405,115.0,found,0,,LOxhzgMEm+B1p56C2rALc75HRLx1fo79W70ftQw7lYr/bfXG5zOzJNjw82bHSHnlayEu7/XhmpQ+50lRNpEpbAMMZKNfpk8Vcrf+268yJlUKL2fa2tqQ4A==
44,afirx1LlNk5vh7BnbGukU+L8o9E3pHhd/uogNOdmdv8=,2024-11-19 06:03:18+00:00,16.0741907,108.1526405,98.0,found,0,,LOxhpgMESQEyXbKlJNuNuXvtytV/ahUgUHjOT4MCp4z6YFuLOkVlPVuTN3qj8sUa/AS1hvikRBlqiMbp6ZDAY8nakCD1VG0dGmUCChf8OEBirx5K20XE/w==
