datetime (UTC),"coordinates (lat,lon)",model (name),model elevation (surface),utc_offset (hrs),temperature (degC),relative_humidity (0-1),wind_speed (m/s),wind_direction (deg),10m_wind_gust (m/s),total_cloud_cover (0-1),total_precipitation (mm of water equivalent)
2024-02-21 15:00:00,"(16.068, 108.212)",era5,90.12,7.00,24.60,0.94,3.64,138.10,5.47,0.34,0.00
2024-02-21 16:00:00,"(16.068, 108.212)",era5,90.12,7.00,24.51,0.94,3.63,139.19,5.53,0.56,0.00
2024-02-21 17:00:00,"(16.068, 108.212)",era5,90.12,7.00,24.35,0.94,3.63,140.23,5.44,0.31,0.00
2024-02-21 18:00:00,"(16.068, 108.212)",era5,90.12,7.00,24.02,0.95,3.59,141.57,5.33,0.35,0.00
2024-02-21 19:00:00,"(16.068, 108.212)",era5,90.12,7.00,23.99,0.95,3.48,143.77,5.28,0.34,0.00
2024-02-21 20:00:00,"(16.068, 108.212)",era5,90.12,7.00,23.85,0.95,3.44,145.52,5.11,0.35,0.00
2024-02-21 21:00:00,"(16.068, 108.212)",era5,90.12,7.00,23.79,0.95,3.38,145.96,5.06,0.42,0.00
2024-02-21 22:00:00,"(16.068, 108.212)",era5,90.12,7.00,24.07,0.96,3.41,147.89,4.82,0.59,0.00
2024-02-21 23:00:00,"(16.068, 108.212)",era5,90.12,7.00,24.01,0.95,3.13,147.56,4.71,0.78,0.00
2024-02-22 00:00:00,"(16.068, 108.212)",era5,90.12,7.00,24.62,0.94,3.17,145.83,4.99,0.83,0.02
2024-02-22 01:00:00,"(16.068, 108.212)",era5,90.12,7.00,24.69,0.92,3.33,145.90,5.53,0.72,0.00
2024-02-22 02:00:00,"(16.068, 108.212)",era5,90.12,7.00,26.00,0.87,3.39,146.10,5.68,0.73,0.00
2024-02-22 03:00:00,"(16.068, 108.212)",era5,90.12,7.00,26.09,0.87,3.28,143.78,5.49,0.66,0.00
2024-02-22 04:00:00,"(16.068, 108.212)",era5,90.12,7.00,26.63,0.85,3.14,134.85,5.61,0.22,0.00
2024-02-22 05:00:00,"(16.068, 108.212)",era5,90.12,7.00,27.52,0.81,3.62,119.77,6.16,0.15,0.02
2024-02-22 06:00:00,"(16.068, 108.212)",era5,90.12,7.00,27.87,0.80,4.27,112.29,6.98,0.08,0.02
2024-02-22 07:00:00,"(16.068, 108.212)",era5,90.12,7.00,27.75,0.79,4.58,111.85,7.81,0.11,0.03
2024-02-22 08:00:00,"(16.068, 108.212)",era5,90.12,7.00,27.59,0.79,4.62,112.03,7.83,0.11,0.02
2024-02-22 09:00:00,"(16.068, 108.212)",era5,90.12,7.00,27.39,0.80,4.35,113.95,7.33,0.06,0.00
2024-02-22 10:00:00,"(16.068, 108.212)",era5,90.12,7.00,26.10,0.86,3.86,116.49,6.43,0.03,0.00
2024-02-22 11:00:00,"(16.068, 108.212)",era5,90.12,7.00,25.73,0.88,3.40,122.04,5.35,0.04,0.00
2024-02-22 12:00:00,"(16.068, 108.212)",era5,90.12,7.00,25.10,0.91,3.20,126.55,4.99,0.03,0.00
2024-02-22 13:00:00,"(16.068, 108.212)",era5,90.12,7.00,25.02,0.91,3.09,130.40,4.99,0.03,0.00
2024-02-22 14:00:00,"(16.068, 108.212)",era5,90.12,7.00,24.64,0.93,2.89,133.78,4.84,0.01,0.00
2024-02-22 15:00:00,"(16.068, 108.212)",era5,90.12,7.00,24.04,0.95,2.81,132.24,4.67,0.02,0.00
2024-02-22 16:00:00,"(16.068, 108.212)",era5,90.12,7.00,24.16,0.95,2.85,132.62,4.72,0.04,0.00
2024-02-22 17:00:00,"(16.068, 108.212)",era5,90.12,7.00,23.97,0.96,3.01,134.28,4.82,0.28,0.00
2024-02-22 18:00:00,"(16.068, 108.212)",era5,90.12,7.00,23.57,0.98,3.15,134.17,4.96,0.64,0.00
2024-02-22 19:00:00,"(16.068, 108.212)",era5,90.12,7.00,23.61,0.97,3.41,133.06,5.11,0.77,0.02
2024-02-22 20:00:00,"(16.068, 108.212)",era5,90.12,7.00,23.73,0.97,3.61,132.72,5.47,0.81,0.02
2024-02-22 21:00:00,"(16.068, 108.212)",era5,90.12,7.00,23.81,0.97,3.72,133.40,5.75,0.83,0.03
2024-02-22 22:00:00,"(16.068, 108.212)",era5,90.12,7.00,23.97,0.96,3.77,133.85,5.99,0.94,0.03
2024-02-22 23:00:00,"(16.068, 108.212)",era5,90.12,7.00,24.04,0.96,3.64,131.95,5.77,0.94,0.04
2024-02-23 00:00:00,"(16.068, 108.212)",era5,90.12,7.00,24.40,0.94,3.84,126.32,6.09,0.90,0.06
2024-02-23 01:00:00,"(16.068, 108.212)",era5,90.12,7.00,24.48,0.94,4.05,122.44,6.43,0.70,0.03
2024-02-23 02:00:00,"(16.068, 108.212)",era5,90.12,7.00,25.52,0.88,4.12,119.74,7.03,0.89,0.02
2024-02-23 03:00:00,"(16.068, 108.212)",era5,90.12,7.00,25.68,0.87,4.16,117.88,7.19,0.78,0.02
2024-02-23 04:00:00,"(16.068, 108.212)",era5,90.12,7.00,25.81,0.86,4.36,115.23,7.64,0.81,0.02
2024-02-23 05:00:00,"(16.068, 108.212)",era5,90.12,7.00,26.07,0.86,4.81,110.85,8.21,0.75,0.02
2024-02-23 06:00:00,"(16.068, 108.212)",era5,90.12,7.00,26.37,0.84,5.20,108.10,8.80,0.67,0.02
2024-02-23 07:00:00,"(16.068, 108.212)",era5,90.12,7.00,26.09,0.86,5.38,103.97,9.84,0.69,0.07
2024-02-23 08:00:00,"(16.068, 108.212)",era5,90.12,7.00,26.01,0.86,5.60,102.12,9.97,0.37,0.05
2024-02-23 09:00:00,"(16.068, 108.212)",era5,90.12,7.00,25.99,0.87,4.97,101.93,8.53,0.33,0.05
2024-02-23 10:00:00,"(16.068, 108.212)",era5,90.12,7.00,24.98,0.91,4.59,98.22,7.52,0.42,0.03
2024-02-23 11:00:00,"(16.068, 108.212)",era5,90.12,7.00,24.74,0.92,4.11,104.12,6.31,0.48,0.02
2024-02-23 12:00:00,"(16.068, 108.212)",era5,90.12,7.00,24.44,0.93,3.98,106.27,6.10,0.51,0.04
2024-02-23 13:00:00,"(16.068, 108.212)",era5,90.12,7.00,24.37,0.94,3.93,108.50,5.67,0.60,0.04
2024-02-23 14:00:00,"(16.068, 108.212)",era5,90.12,7.00,24.03,0.94,4.00,110.23,5.59,0.52,0.08
2024-02-23 15:00:00,"(16.068, 108.212)",era5,90.12,7.00,23.94,0.95,3.90,113.29,5.50,0.43,0.08
2024-02-23 16:00:00,"(16.068, 108.212)",era5,90.12,7.00,23.92,0.95,3.76,116.36,5.16,0.52,0.05
2024-02-23 17:00:00,"(16.068, 108.212)",era5,90.12,7.00,23.85,0.95,3.69,116.54,5.10,0.56,0.07
2024-02-23 18:00:00,"(16.068, 108.212)",era5,90.12,7.00,23.46,0.95,3.56,115.33,4.96,0.59,0.10
2024-02-23 19:00:00,"(16.068, 108.212)",era5,90.12,7.00,23.55,0.94,3.39,111.81,5.36,0.60,0.08
2024-02-23 20:00:00,"(16.068, 108.212)",era5,90.12,7.00,23.44,0.95,3.38,106.98,5.26,0.50,0.10
2024-02-23 21:00:00,"(16.068, 108.212)",era5,90.12,7.00,23.42,0.94,3.53,104.41,5.25,0.70,0.11
2024-02-23 22:00:00,"(16.068, 108.212)",era5,90.12,7.00,23.52,0.95,3.40,104.79,5.76,0.77,0.11
2024-02-23 23:00:00,"(16.068, 108.212)",era5,90.12,7.00,23.64,0.93,3.62,108.27,5.94,0.63,0.16
2024-02-24 00:00:00,"(16.068, 108.212)",era5,90.12,7.00,24.05,0.90,3.78,110.33,6.23,0.71,0.13
2024-02-24 01:00:00,"(16.068, 108.212)",era5,90.12,7.00,23.84,0.90,4.15,110.50,6.69,0.44,0.11
2024-02-24 02:00:00,"(16.068, 108.212)",era5,90.12,7.00,24.73,0.84,4.06,106.92,6.71,0.59,0.08
2024-02-24 03:00:00,"(16.068, 108.212)",era5,90.12,7.00,25.01,0.83,4.03,97.84,6.97,0.47,0.12
2024-02-24 04:00:00,"(16.068, 108.212)",era5,90.12,7.00,24.94,0.83,4.03,89.44,7.05,0.59,0.09
2024-02-24 05:00:00,"(16.068, 108.212)",era5,90.12,7.00,25.38,0.81,4.12,81.82,7.29,0.55,0.02
2024-02-24 06:00:00,"(16.068, 108.212)",era5,90.12,7.00,25.53,0.80,4.08,78.39,6.95,0.40,0.02
2024-02-24 07:00:00,"(16.068, 108.212)",era5,90.12,7.00,25.64,0.80,4.00,78.34,7.30,0.23,0.01
2024-02-24 08:00:00,"(16.068, 108.212)",era5,90.12,7.00,25.69,0.79,3.69,80.41,6.89,0.17,0.00
2024-02-24 09:00:00,"(16.068, 108.212)",era5,90.12,7.00,25.57,0.80,3.25,80.39,5.93,0.06,0.00
2024-02-24 10:00:00,"(16.068, 108.212)",era5,90.12,7.00,24.38,0.85,2.32,77.59,4.55,0.10,0.00
2024-02-24 11:00:00,"(16.068, 108.212)",era5,90.12,7.00,23.75,0.89,1.65,77.66,3.13,0.03,0.00
2024-02-24 12:00:00,"(16.068, 108.212)",era5,90.12,7.00,23.27,0.91,1.49,71.29,2.72,0.10,0.00
2024-02-24 13:00:00,"(16.068, 108.212)",era5,90.12,7.00,23.97,0.89,1.42,61.82,2.26,0.04,0.00
2024-02-24 14:00:00,"(16.068, 108.212)",era5,90.12,7.00,24.01,0.89,1.14,58.09,2.07,0.04,0.00
2024-02-24 15:00:00,"(16.068, 108.212)",era5,90.12,7.00,23.60,0.89,0.69,56.50,1.84,0.03,0.00
2024-02-24 16:00:00,"(16.068, 108.212)",era5,90.12,7.00,23.26,0.91,0.51,62.43,1.72,0.13,0.00
2024-02-24 17:00:00,"(16.068, 108.212)",era5,90.12,7.00,22.59,0.93,0.38,75.95,1.94,0.34,0.00
2024-02-24 18:00:00,"(16.068, 108.212)",era5,90.12,7.00,22.20,0.94,0.72,74.53,1.87,0.52,0.03
2024-02-24 19:00:00,"(16.068, 108.212)",era5,90.12,7.00,22.05,0.94,0.81,50.73,2.43,0.54,0.11
2024-02-24 20:00:00,"(16.068, 108.212)",era5,90.12,7.00,21.76,0.95,0.99,34.15,2.84,0.60,0.14
2024-02-24 21:00:00,"(16.068, 108.212)",era5,90.12,7.00,21.82,0.95,1.33,33.31,3.36,0.65,0.12
2024-02-24 22:00:00,"(16.068, 108.212)",era5,90.12,7.00,22.32,0.93,1.53,34.48,3.23,0.45,0.15
2024-02-24 23:00:00,"(16.068, 108.212)",era5,90.12,7.00,22.60,0.92,1.56,56.17,3.07,0.48,0.14
2024-02-25 00:00:00,"(16.068, 108.212)",era5,90.12,7.00,23.13,0.90,1.36,64.24,3.28,0.39,0.10
2024-02-25 01:00:00,"(16.068, 108.212)",era5,90.12,7.00,23.51,0.88,1.25,69.82,3.31,0.29,0.12
2024-02-25 02:00:00,"(16.068, 108.212)",era5,90.12,7.00,24.58,0.85,1.58,72.15,3.71,0.30,0.13
2024-02-25 03:00:00,"(16.068, 108.212)",era5,90.12,7.00,24.69,0.83,1.97,76.84,4.19,0.30,0.16
2024-02-25 04:00:00,"(16.068, 108.212)",era5,90.12,7.00,24.83,0.82,2.27,76.11,4.71,0.28,0.13
2024-02-25 05:00:00,"(16.068, 108.212)",era5,90.12,7.00,25.16,0.81,2.45,70.54,4.96,0.38,0.05
2024-02-25 06:00:00,"(16.068, 108.212)",era5,90.12,7.00,25.46,0.80,2.57,66.82,5.21,0.34,0.06
2024-02-25 07:00:00,"(16.068, 108.212)",era5,90.12,7.00,25.45,0.80,2.75,65.57,5.49,0.25,0.00
2024-02-25 08:00:00,"(16.068, 108.212)",era5,90.12,7.00,25.37,0.81,2.68,64.33,5.19,0.17,0.00
