timestamp_utc,coordinates_lat_lon,model_name,model_elevation_m,utc_offset_hrs,temp_c,relative_humidity,wind_speed_mps,wind_deg,wind_gust_mps,cloud_cover,precip_mm,hour_of_day,day_of_week,day_of_year,month_of_year,year,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,month_sin,month_cos,day_of_year_sin,day_of_year_cos
2024-02-21 15:00:00+00:00,"(16.068, 108.212)",era5,90.12,7.0,24.6,0.94,3.64,138.1,5.47,0.34,0.0,15,2,52,2,2024,-0.7071067811865471,-0.7071067811865479,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,0.7690308592589181,0.6392116531380588
2024-02-21 16:00:00+00:00,"(16.068, 108.212)",era5,90.12,7.0,24.51,0.94,3.63,139.19,5.53,0.56,0.0,16,2,52,2,2024,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,0.7690308592589181,0.6392116531380588
2024-02-21 17:00:00+00:00,"(16.068, 108.212)",era5,90.12,7.0,24.35,0.94,3.63,140.23,5.44,0.31,0.0,17,2,52,2,2024,-0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,0.7690308592589181,0.6392116531380588
2024-02-21 18:00:00+00:00,"(16.068, 108.212)",era5,90.12,7.0,24.02,0.95,3.59,141.57,5.33,0.35,0.0,18,2,52,2,2024,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,0.7690308592589181,0.6392116531380588
2024-02-21 19:00:00+00:00,"(16.068, 108.212)",era5,90.12,7.0,23.99,0.95,3.48,143.77,5.28,0.34,0.0,19,2,52,2,2024,-0.9659258262890684,0.2588190451025203,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,0.7690308592589181,0.6392116531380588
2024-02-21 20:00:00+00:00,"(16.068, 108.212)",era5,90.12,7.0,23.85,0.95,3.44,145.52,5.11,0.35,0.0,20,2,52,2,2024,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,0.7690308592589181,0.6392116531380588
2024-02-21 21:00:00+00:00,"(16.068, 108.212)",era5,90.12,7.0,23.79,0.95,3.38,145.96,5.06,0.42,0.0,21,2,52,2,2024,-0.7071067811865477,0.7071067811865474,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,0.7690308592589181,0.6392116531380588
2024-02-21 22:00:00+00:00,"(16.068, 108.212)",era5,90.12,7.0,24.07,0.96,3.41,147.89,4.82,0.59,0.0,22,2,52,2,2024,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,0.7690308592589181,0.6392116531380588
2024-02-21 23:00:00+00:00,"(16.068, 108.212)",era5,90.12,7.0,24.01,0.95,3.13,147.56,4.71,0.78,0.0,23,2,52,2,2024,-0.25881904510252157,0.9659258262890681,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,0.7690308592589181,0.6392116531380588
2024-02-22 00:00:00+00:00,"(16.068, 108.212)",era5,90.12,7.0,24.62,0.94,3.17,145.83,4.99,0.83,0.02,0,3,53,2,2024,0.0,1.0,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0.7799125224167177,0.6258885343075018
2024-02-22 01:00:00+00:00,"(16.068, 108.212)",era5,90.12,7.0,24.69,0.92,3.33,145.9,5.53,0.72,0.0,1,3,53,2,2024,0.25881904510252074,0.9659258262890683,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0.7799125224167177,0.6258885343075018
2024-02-22 02:00:00+00:00,"(16.068, 108.212)",era5,90.12,7.0,26.0,0.87,3.39,146.1,5.68,0.73,0.0,2,3,53,2,2024,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0.7799125224167177,0.6258885343075018
2024-02-22 03:00:00+00:00,"(16.068, 108.212)",era5,90.12,7.0,26.09,0.87,3.28,143.78,5.49,0.66,0.0,3,3,53,2,2024,0.7071067811865475,0.7071067811865476,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0.7799125224167177,0.6258885343075018
2024-02-22 04:00:00+00:00,"(16.068, 108.212)",era5,90.12,7.0,26.63,0.85,3.14,134.85,5.61,0.22,0.0,4,3,53,2,2024,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0.7799125224167177,0.6258885343075018
2024-02-22 05:00:00+00:00,"(16.068, 108.212)",era5,90.12,7.0,27.52,0.81,3.62,119.77,6.16,0.15,0.02,5,3,53,2,2024,0.9659258262890683,0.25881904510252074,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0.7799125224167177,0.6258885343075018
2024-02-22 06:00:00+00:00,"(16.068, 108.212)",era5,90.12,7.0,27.87,0.8,4.27,112.29,6.98,0.08,0.02,6,3,53,2,2024,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0.7799125224167177,0.6258885343075018
2024-02-22 07:00:00+00:00,"(16.068, 108.212)",era5,90.12,7.0,27.75,0.79,4.58,111.85,7.81,0.11,0.03,7,3,53,2,2024,0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0.7799125224167177,0.6258885343075018
2024-02-22 08:00:00+00:00,"(16.068, 108.212)",era5,90.12,7.0,27.59,0.79,4.62,112.03,7.83,0.11,0.02,8,3,53,2,2024,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0.7799125224167177,0.6258885343075018
2024-02-22 09:00:00+00:00,"(16.068, 108.212)",era5,90.12,7.0,27.39,0.8,4.35,113.95,7.33,0.06,0.0,9,3,53,2,2024,0.7071067811865476,-0.7071067811865475,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0.7799125224167177,0.6258885343075018
2024-02-22 10:00:00+00:00,"(16.068, 108.212)",era5,90.12,7.0,26.1,0.86,3.86,116.49,6.43,0.03,0.0,10,3,53,2,2024,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0.7799125224167177,0.6258885343075018
2024-02-22 11:00:00+00:00,"(16.068, 108.212)",era5,90.12,7.0,25.73,0.88,3.4,122.04,5.35,0.04,0.0,11,3,53,2,2024,0.258819045102521,-0.9659258262890682,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0.7799125224167177,0.6258885343075018
2024-02-22 12:00:00+00:00,"(16.068, 108.212)",era5,90.12,7.0,25.1,0.91,3.2,126.55,4.99,0.03,0.0,12,3,53,2,2024,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0.7799125224167177,0.6258885343075018
2024-02-22 13:00:00+00:00,"(16.068, 108.212)",era5,90.12,7.0,25.02,0.91,3.09,130.4,4.99,0.03,0.0,13,3,53,2,2024,-0.2588190451025208,-0.9659258262890683,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0.7799125224167177,0.6258885343075018
2024-02-22 14:00:00+00:00,"(16.068, 108.212)",era5,90.12,7.0,24.64,0.93,2.89,133.78,4.84,0.01,0.0,14,3,53,2,2024,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0.7799125224167177,0.6258885343075018
2024-02-22 15:00:00+00:00,"(16.068, 108.212)",era5,90.12,7.0,24.04,0.95,2.81,132.24,4.67,0.02,0.0,15,3,53,2,2024,-0.7071067811865471,-0.7071067811865479,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0.7799125224167177,0.6258885343075018
2024-02-22 16:00:00+00:00,"(16.068, 108.212)",era5,90.12,7.0,24.16,0.95,2.85,132.62,4.72,0.04,0.0,16,3,53,2,2024,-0.8660254037844384,-0.5000000000000004,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0.7799125224167177,0.6258885343075018
2024-02-22 17:00:00+00:00,"(16.068, 108.212)",era5,90.12,7.0,23.97,0.96,3.01,134.28,4.82,0.28,0.0,17,3,53,2,2024,-0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0.7799125224167177,0.6258885343075018
2024-02-22 18:00:00+00:00,"(16.068, 108.212)",era5,90.12,7.0,23.57,0.98,3.15,134.17,4.96,0.64,0.0,18,3,53,2,2024,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0.7799125224167177,0.6258885343075018
2024-02-22 19:00:00+00:00,"(16.068, 108.212)",era5,90.12,7.0,23.61,0.97,3.41,133.06,5.11,0.77,0.02,19,3,53,2,2024,-0.9659258262890684,0.2588190451025203,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0.7799125224167177,0.6258885343075018
2024-02-22 20:00:00+00:00,"(16.068, 108.212)",era5,90.12,7.0,23.73,0.97,3.61,132.72,5.47,0.81,0.02,20,3,53,2,2024,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0.7799125224167177,0.6258885343075018
2024-02-22 21:00:00+00:00,"(16.068, 108.212)",era5,90.12,7.0,23.81,0.97,3.72,133.4,5.75,0.83,0.03,21,3,53,2,2024,-0.7071067811865477,0.7071067811865474,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0.7799125224167177,0.6258885343075018
2024-02-22 22:00:00+00:00,"(16.068, 108.212)",era5,90.12,7.0,23.97,0.96,3.77,133.85,5.99,0.94,0.03,22,3,53,2,2024,-0.5000000000000004,0.8660254037844384,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0.7799125224167177,0.6258885343075018
2024-02-22 23:00:00+00:00,"(16.068, 108.212)",era5,90.12,7.0,24.04,0.96,3.64,131.95,5.77,0.94,0.04,23,3,53,2,2024,-0.25881904510252157,0.9659258262890681,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0.7799125224167177,0.6258885343075018
2024-02-23 00:00:00+00:00,"(16.068, 108.212)",era5,90.12,7.0,24.4,0.94,3.84,126.32,6.09,0.9,0.06,0,4,54,2,2024,0.0,1.0,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,0.7905633969115482,0.612380204990065
2024-02-23 01:00:00+00:00,"(16.068, 108.212)",era5,90.12,7.0,24.48,0.94,4.05,122.44,6.43,0.7,0.03,1,4,54,2,2024,0.25881904510252074,0.9659258262890683,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,0.7905633969115482,0.612380204990065
