timestamp_utc,temp_c,feels_like_c,pressure_hpa,humidity_percent,clouds_percent,visibility_m,wind_speed_mps,wind_deg,pop_percent,weather_main,rain_1h_mm,snow_1h_mm
2025-05-27 08:00:00+00:00,31.0,35.35,1008,62,40,10000,4.4,35,80.0,Clouds,,
2025-05-27 09:00:00+00:00,30.55,34.86,1008,64,42,10000,3.84,46,78.0,Clouds,,
2025-05-27 10:00:00+00:00,30.01,34.35,1008,67,41,10000,3.38,62,76.0,Clouds,,
2025-05-27 11:00:00+00:00,29.14,33.23,1008,71,47,10000,2.31,76,97.0,Rain,0.25,
2025-05-27 12:00:00+00:00,28.1,32.03,1008,78,54,10000,1.01,93,97.0,Rain,0.17,
2025-05-27 13:00:00+00:00,27.18,30.46,1009,83,100,10000,0.48,141,89.0,Rain,0.43,
2025-05-27 14:00:00+00:00,26.94,30.27,1009,87,100,10000,0.58,208,77.0,Rain,0.2,
2025-05-27 15:00:00+00:00,26.78,29.85,1009,87,100,10000,1.33,213,67.0,Clouds,,
2025-05-27 16:00:00+00:00,26.35,26.35,1009,88,99,10000,2.0,226,57.99999999999999,Clouds,,
2025-05-27 17:00:00+00:00,26.13,26.13,1009,88,95,10000,2.26,237,53.0,Clouds,,
2025-05-27 18:00:00+00:00,25.93,26.88,1008,88,96,10000,2.43,225,48.0,Clouds,,
2025-05-27 19:00:00+00:00,25.92,26.84,1007,87,100,10000,2.17,231,0.0,Clouds,,
2025-05-27 20:00:00+00:00,25.77,26.67,1006,87,100,10000,2.07,222,0.0,Clouds,,
2025-05-27 21:00:00+00:00,25.58,26.44,1006,86,100,10000,2.54,224,0.0,Clouds,,
2025-05-27 22:00:00+00:00,25.45,26.27,1007,85,88,10000,2.16,228,0.0,Clouds,,
2025-05-27 23:00:00+00:00,25.95,25.95,1007,82,86,10000,1.91,233,0.0,Clouds,,
2025-05-28 00:00:00+00:00,27.17,29.72,1007,76,81,10000,2.18,193,0.0,Clouds,,
2025-05-28 01:00:00+00:00,28.68,32.21,1007,71,83,10000,1.93,156,0.0,Clouds,,
2025-05-28 02:00:00+00:00,29.32,33.24,1007,69,71,10000,2.66,103,0.0,Clouds,,
2025-05-28 03:00:00+00:00,29.26,33.3,1007,70,83,10000,4.09,71,12.0,Clouds,,
2025-05-28 04:00:00+00:00,28.68,32.74,1007,74,71,10000,5.51,61,32.0,Clouds,,
2025-05-28 05:00:00+00:00,28.85,32.95,1006,73,71,10000,4.51,63,49.0,Rain,0.4,
2025-05-28 06:00:00+00:00,29.72,34.37,1005,70,75,10000,4.47,72,73.0,Rain,0.56,
2025-05-28 07:00:00+00:00,28.25,32.4,1005,78,55,10000,4.22,72,87.0,Rain,0.4,
2025-05-28 08:00:00+00:00,28.57,33.01,1004,77,48,10000,3.34,83,86.0,Rain,0.24,
2025-05-28 09:00:00+00:00,29.03,33.57,1004,74,65,10000,3.41,102,76.0,Clouds,,
2025-05-28 10:00:00+00:00,28.87,33.77,1004,77,74,10000,3.75,114,72.0,Clouds,,
2025-05-28 11:00:00+00:00,28.32,33.09,1005,81,79,10000,3.25,124,67.0,Clouds,,
2025-05-28 12:00:00+00:00,27.63,31.87,1006,85,82,10000,2.51,144,67.0,Rain,0.36,
2025-05-28 13:00:00+00:00,27.32,31.29,1007,87,100,10000,1.86,161,64.0,Rain,0.23,
2025-05-28 14:00:00+00:00,27.12,30.86,1007,88,100,10000,1.88,180,60.0,Rain,0.12,
2025-05-28 15:00:00+00:00,26.76,29.88,1008,88,100,10000,2.27,212,56.99999999999999,Clouds,,
2025-05-28 16:00:00+00:00,26.54,26.54,1007,88,100,10000,2.12,210,56.00000000000001,Clouds,,
2025-05-28 17:00:00+00:00,26.37,26.37,1007,87,100,10000,1.78,222,55.00000000000001,Clouds,,
2025-05-28 18:00:00+00:00,26.11,26.11,1005,87,100,10000,2.03,222,54.0,Clouds,,
2025-05-28 19:00:00+00:00,25.91,26.83,1005,87,100,10000,2.26,227,0.0,Clouds,,
2025-05-28 20:00:00+00:00,25.73,26.6,1004,86,100,10000,2.15,235,0.0,Clouds,,
2025-05-28 21:00:00+00:00,25.79,26.64,1004,85,100,10000,1.56,235,0.0,Clouds,,
2025-05-28 22:00:00+00:00,25.67,26.54,1005,86,100,10000,1.68,223,0.0,Clouds,,
2025-05-28 23:00:00+00:00,26.0,26.0,1006,84,100,10000,2.13,242,0.0,Clouds,,
2025-05-29 00:00:00+00:00,27.33,30.37,1006,79,100,10000,1.69,264,0.0,Clouds,,
2025-05-29 01:00:00+00:00,28.46,32.23,1007,74,100,10000,0.96,336,95.0,Rain,0.29,
2025-05-29 02:00:00+00:00,29.5,33.85,1007,70,100,10000,1.37,22,65.0,Clouds,,
2025-05-29 03:00:00+00:00,29.73,34.39,1007,70,100,10000,4.3,30,56.00000000000001,Clouds,,
2025-05-29 04:00:00+00:00,29.35,34.14,1006,73,100,10000,4.88,32,50.0,Clouds,,
2025-05-29 05:00:00+00:00,29.49,34.48,1005,73,100,10000,5.45,34,49.0,Clouds,,
2025-05-29 06:00:00+00:00,29.66,35.14,1004,74,100,10000,6.66,39,49.0,Clouds,,
2025-05-29 07:00:00+00:00,29.17,34.55,1004,77,100,10000,6.85,41,51.0,Clouds,,
