timestamp_utc,temp_c,feels_like_c,pressure_hpa,humidity_percent,clouds_percent,visibility_m,wind_speed_mps,wind_deg,pop_percent,weather_main,rain_1h_mm,snow_1h_mm
2025-05-20 04:00:00+00:00,32.68,39.68,1007,69,82,10000,5.41,98,0.0,Clouds,,
2025-05-20 05:00:00+00:00,32.76,39.76,1007,70,80,10000,5.73,96,0.0,Clouds,,
2025-05-20 06:00:00+00:00,32.7,39.7,1007,71,80,10000,5.84,99,0.0,Clouds,,
2025-05-20 07:00:00+00:00,32.8,39.8,1007,72,88,10000,5.97,105,17.0,Clouds,,
2025-05-20 08:00:00+00:00,32.42,39.42,1006,73,92,10000,6.94,105,32.0,Clouds,,
2025-05-20 09:00:00+00:00,31.8,38.8,1005,78,96,10000,5.65,116,33.0,Clouds,,
2025-05-20 10:00:00+00:00,30.78,37.78,1006,81,100,10000,4.1,133,20.0,Clouds,,
2025-05-20 11:00:00+00:00,29.81,36.81,1007,84,99,10000,3.18,137,75.0,Rain,0.88,
2025-05-20 12:00:00+00:00,28.88,35.88,1008,88,100,10000,3.26,140,98.0,Rain,0.99,
2025-05-20 13:00:00+00:00,27.12,30.75,1008,87,90,10000,3.42,161,30.0,Clouds,,
2025-05-20 14:00:00+00:00,26.29,26.29,1008,90,94,10000,3.27,208,17.0,Clouds,,
2025-05-20 15:00:00+00:00,25.68,26.65,1008,90,96,10000,4.65,207,16.0,Clouds,,
2025-05-20 16:00:00+00:00,25.13,26.05,1008,90,97,10000,4.63,202,11.0,Clouds,,
2025-05-20 17:00:00+00:00,24.98,25.83,1007,88,97,10000,4.07,200,1.0,Clouds,,
2025-05-20 18:00:00+00:00,24.84,25.68,1007,88,98,10000,4.05,212,0.0,Clouds,,
2025-05-20 19:00:00+00:00,24.81,25.62,1006,87,100,10000,3.78,212,0.0,Clouds,,
2025-05-20 20:00:00+00:00,24.92,25.71,1006,86,100,10000,3.79,204,0.0,Clouds,,
2025-05-20 21:00:00+00:00,24.97,25.77,1006,86,100,10000,3.68,206,0.0,Clouds,,
2025-05-20 22:00:00+00:00,25.08,25.86,1006,85,100,10000,3.24,203,0.0,Clouds,,
2025-05-20 23:00:00+00:00,25.41,26.2,1007,84,100,10000,3.39,193,0.0,Clouds,,
2025-05-21 00:00:00+00:00,26.7,29.01,1007,79,100,10000,3.46,188,0.0,Clouds,,
2025-05-21 01:00:00+00:00,28.24,31.58,1008,73,100,10000,3.61,167,0.0,Clouds,,
2025-05-21 02:00:00+00:00,29.47,33.16,1008,67,99,10000,4.37,138,0.0,Clouds,,
2025-05-21 03:00:00+00:00,29.96,34.02,1008,66,100,10000,4.81,118,0.0,Clouds,,
2025-05-21 04:00:00+00:00,29.64,33.74,1007,68,100,10000,5.52,99,0.0,Clouds,,
2025-05-21 05:00:00+00:00,29.65,34.2,1007,70,100,10000,6.0,93,0.0,Clouds,,
2025-05-21 06:00:00+00:00,29.27,34.16,1006,74,100,10000,5.89,94,0.0,Clouds,,
2025-05-21 07:00:00+00:00,29.37,34.85,1005,76,100,10000,5.61,99,43.0,Clouds,,
2025-05-21 08:00:00+00:00,29.48,35.14,1005,76,91,10000,5.7,99,26.0,Clouds,,
2025-05-21 09:00:00+00:00,29.17,34.99,1005,79,73,10000,4.69,101,32.0,Clouds,,
2025-05-21 10:00:00+00:00,28.85,34.54,1005,81,62,10000,3.52,103,30.0,Clouds,,
2025-05-21 11:00:00+00:00,28.35,33.9,1006,85,54,10000,4.44,141,49.0,Rain,0.22,
2025-05-21 12:00:00+00:00,27.33,31.57,1007,89,59,10000,2.42,162,64.0,Rain,0.78,
2025-05-21 13:00:00+00:00,27.51,31.95,1008,88,90,10000,3.17,161,41.0,Clouds,,
2025-05-21 14:00:00+00:00,26.67,29.73,1008,89,98,10000,3.74,201,22.0,Clouds,,
2025-05-21 15:00:00+00:00,25.91,26.88,1008,89,98,10000,3.09,234,13.0,Clouds,,
2025-05-21 16:00:00+00:00,25.65,26.54,1007,87,98,10000,2.92,222,6.0,Clouds,,
2025-05-21 17:00:00+00:00,25.22,26.04,1006,86,99,10000,3.26,213,3.0,Clouds,,
2025-05-21 18:00:00+00:00,24.95,25.72,1006,85,99,10000,3.49,205,0.0,Clouds,,
2025-05-21 19:00:00+00:00,24.71,25.43,1005,84,84,10000,3.68,200,0.0,Clouds,,
2025-05-21 20:00:00+00:00,24.49,25.19,1005,84,86,10000,3.72,201,0.0,Clouds,,
2025-05-21 21:00:00+00:00,24.37,25.06,1005,84,88,10000,3.73,207,0.0,Clouds,,
2025-05-21 22:00:00+00:00,24.52,25.19,1006,83,92,10000,3.69,216,0.0,Clouds,,
2025-05-21 23:00:00+00:00,24.91,25.57,1006,81,93,10000,3.26,215,0.0,Clouds,,
2025-05-22 00:00:00+00:00,26.53,26.53,1007,75,94,10000,3.16,198,0.0,Clouds,,
2025-05-22 01:00:00+00:00,28.0,30.8,1007,71,100,10000,3.09,182,0.0,Clouds,,
2025-05-22 02:00:00+00:00,29.37,33.15,1007,68,100,10000,3.21,140,0.0,Clouds,,
2025-05-22 03:00:00+00:00,29.66,34.0,1007,69,100,10000,4.39,115,0.0,Clouds,,
